"id","vessel_code","form_fm","form_date","no_form1a","no_pkk","bentuk_3a","start_date","end_date","createdAt","updatedAt","correction","split_to","no_invoice"
346,ME99X,FM/01/01/01/74,2022-10-07 10:58:25.000,"202213000151",ME9913000004,"070.202202001107-FS",2022-09-29 10:35:00.000,2022-10-05 10:35:00.000,2022-10-07 10:58:25.376 +0700,2022-10-07 10:58:25.376 +0700,N,,
347,MK99X,FM/01/01/01/74,2022-10-07 10:59:22.000,"202213000005",MK9913000001,"070.202202001108-FS",2022-09-05 08:00:00.000,2022-09-09 09:00:00.000,2022-10-07 10:59:22.919 +0700,2022-10-07 10:59:22.919 +0700,N,,"070.12204.22.00001001R3"
370,CM16,FM/01/01/01/74,2022-10-12 10:47:58.000,"202213000091",CM1613000002,"010.202202001114-FS",2022-09-25 23:00:00.000,2022-10-10 23:00:00.000,2022-10-12 10:47:58.039 +0700,2022-10-12 10:47:58.039 +0700,N,,
374,DKI1,FM/01/01/01/74,2022-10-12 11:13:39.000,"202213000169",DKI113000014,"070.202202001118-FS",2022-10-03 08:32:00.000,2022-10-03 23:33:00.000,2022-10-12 11:13:39.340 +0700,2022-10-12 11:13:39.340 +0700,N,,
377,V9AO,FM/01/01/01/74,2022-10-12 11:53:40.000,"202213000172",V9AO13000001,"070.202202001121-FS",2022-10-02 05:00:00.000,2022-10-02 23:00:00.000,2022-10-12 11:53:40.660 +0700,2022-10-12 11:53:40.660 +0700,N,,
410,DL07,FM/01/01/01/74,2022-10-12 16:54:19.000,"202213000078",DL0713000001,"010.202202001153-FS",2022-09-20 08:00:00.000,2022-09-25 08:00:00.000,2022-10-12 16:54:19.514 +0700,2022-10-12 16:54:19.514 +0700,N,,
415,MDO6,FM/01/01/01/74,2022-10-13 05:28:13.000,"202213000096",MDO613000001,"070.202202001158-FS",2022-09-22 03:00:00.000,2022-09-24 15:39:00.000,2022-10-13 05:28:13.485 +0700,2022-10-13 05:28:13.485 +0700,N,,
416,DHOP,FM/01/01/01/74,2022-10-13 07:31:29.000,"202213000174",DHOP13000002,"010.202202001159-FS",2022-10-03 23:00:00.000,2022-10-20 23:00:00.000,2022-10-13 07:31:29.266 +0700,2022-10-13 07:31:29.266 +0700,N,,
417,H133X,FM/01/01/01/74,2022-10-13 07:50:36.000,"202213000082",H13313000001,"010.202202001160-FS",2022-09-20 16:00:00.000,2022-10-04 21:00:00.000,2022-10-13 07:50:36.146 +0700,2022-10-13 07:50:36.146 +0700,N,,
430,MB44X,FM/01/01/01/74,2022-10-13 19:11:30.000,"202213000035",MB4413000001,"070.202202001166-FS",2022-09-12 08:00:00.000,2022-09-15 09:00:00.000,2022-10-13 19:11:30.797 +0700,2022-10-13 19:11:30.797 +0700,N,,
